name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
SDL_6,sat,2,0,1,1,0.875,0.9285714,0,0,0,2.42E-05,5.15E-05,7.74E-06,6.82E-05,SDL,return,java.lang.String,0,3,1,0,1,0,Kill,non
AOIU_2,sat,1,0.4137931,0.41379312,0.48172387,0.875,0.9285714,0,0,0,1.58E-06,3.23E-06,3.90E-07,4.54E-06,AOIU,expression,java.lang.String,1,4,1,0,2,0,Kill,non
LOI_2,sat,1,0.4137931,0.41379312,0.48172387,0.875,1,0,0,0,1.58E-06,3.24E-06,3.95E-07,4.55E-06,LOI,expression,java.lang.String,1,4,1,0,2,0,Kill,non
SDL_7,sat,2,0,1,1,1,0.9285714,0.4137931,0.5862069,0.610046,4.66E-04,6.19E-04,1.06E-04,8.06E-04,SDL,return,java.lang.String,1,4,1,0,1,0,Kill,non
ODL_9,sat,2,0,1,1,1,0.9285714,0,0,0,9.76E-05,1.85E-04,2.75E-05,2.50E-04,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_10,sat,2,0,1,1,1,0.9285714,0.4137931,0.5862069,0.610046,1.75E-05,3.54E-05,5.56E-06,4.69E-05,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_11,sat,2,0,1,1,1,0.9285714,0.20385396,0.20385394,0.060816273,8.17E-05,8.64E-05,1.43E-05,1.13E-04,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_12,sat,2,0,1,1,1,0.9285714,0.4137931,0.08620688,0.42192218,2.29E-04,3.01E-04,4.74E-05,4.03E-04,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_13,sat,2,0,1,1,1,0.9285714,0,0,0,1.76E-05,3.37E-05,4.01E-06,4.83E-05,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_14,sat,2,0,1,1,1,0.9285714,0.4137931,0.5862069,0.610046,3.99E-04,4.98E-04,8.72E-05,6.44E-04,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_15,sat,2,0,1,1,1,0.9285714,0,0,0,8.19E-06,1.55E-05,1.77E-06,2.13E-05,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ODL_16,sat,2,0,1,1,1,0.9285714,0.4137931,0.5862069,0.610046,5.25E-04,6.88E-04,1.13E-04,9.18E-04,ODL,return,java.lang.String,1,4,1,0,1,0.5,Kill,non
ROR_2,sat,2,0,1,1,0.875,1,0,0,0,3.12E-06,6.46E-06,7.85E-07,9.08E-06,ROR,return,boolean,1,3,1,0,1,0.75,Kill,non
COI_2,sat,2,0,1,1,0.875,1,0,0,0,4.73E-06,9.68E-06,1.18E-06,1.36E-05,COI,return,boolean,1,3,1,0,1,0,Kill,non
SDL_8,sat,2,0,1,1,0.875,0.9285714,0,0,0,8.13E-05,4.32E-05,5.15E-06,6.14E-05,SDL,return,boolean,1,3,1,0,1,0,Kill,non
SDL_9,sat,2,0,1,1,0.875,0.9285714,0,0,0,7.61E-05,4.80E-05,5.86E-06,6.79E-05,SDL,return,boolean,1,3,1,0,1,0,Kill,non
SDL_10,sat,2,0,1,1,0.875,0.9285714,0,0,0,6.61E-05,1.44E-04,2.27E-05,1.87E-04,SDL,return,int,0,3,1,0,1,0,Alive,non
AOIU_1,sat,0,0,0,1,0.5714286,0,0,0,0,0,0,0,0,AOIU,expression,void,3,2,1,-1,-1,0,Alive,equ
AOIU_2,sat,0,0,0,1,0.5714286,0,0,0,0,0,0,0,0,AOIU,expression,void,3,2,1,-1,-1,0,Alive,equ
AOIS_1,sat,0,0,0,1,0.5714286,0.6666667,0,0,0,4.00E-04,0,0,0,AOIS,expression,void,3,2,1,-1,-1,0,Kill,non
AOIS_2,sat,0,0,0,1,0.5714286,0.6666667,0,0,0,4.00E-04,0,0,0,AOIS,expression,void,3,2,1,-1,-1,0,Kill,non
AOIS_3,sat,0,0,0,1,0.5714286,0.6666667,0,0,0,0,0,0,0,AOIS,expression,void,3,2,1,-1,-1,0,Alive,equ
